Generation,Run_ID,Final_Fitness,Evac_Score,Cost_Score,Solution_Widths
3,105,1775.3652846849766,1336.2262846849765,4391.39,"[4.0, 2.0, 4.0, 0.0, 4.0, 0.0, 4.0, 2.0, 4.0, 2.0, 4.0, 0.0, 2.0, 0.0, 4.0]"
3,106,1749.748442798154,1357.056442798154,3926.9200000000005,"[2.0, 0.0, 4.0, 0.0, 0.0, 2.0, 4.0, 4.0, 0.0, 2.0, 4.0, 2.0, 2.0, 4.0, 4.0]"
3,107,1644.7586632927794,1341.6666632927793,3030.92,"[2.0, 2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 4.0, 0.0, 0.0]"
3,108,1641.4122165445197,1369.0162165445195,2723.9600000000005,"[2.0, 0.0, 4.0, 0.0, 2.0, 2.0, 0.0, 4.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 4.0]"
3,109,1792.7498198376882,1345.781819837688,4469.68,"[2.0, 4.0, 0.0, 4.0, 2.0, 4.0, 0.0, 4.0, 2.0, 2.0, 0.0, 2.0, 4.0, 4.0, 2.0]"
3,110,1507.1534221268323,1343.7044221268322,1634.4900000000002,"[0.0, 0.0, 2.0, 0.0, 2.0, 0.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 4.0, 0.0, 2.0]"
3,111,1632.574182955719,1363.1761829557188,2693.9800000000005,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 4.0]"
3,112,1648.3245236225255,1318.3665236225254,3299.5800000000004,"[2.0, 2.0, 4.0, 0.0, 0.0, 0.0, 2.0, 4.0, 0.0, 2.0, 4.0, 2.0, 4.0, 2.0, 0.0]"
3,113,1684.229854161184,1374.531854161184,3096.9800000000005,"[2.0, 0.0, 4.0, 2.0, 4.0, 0.0, 0.0, 0.0, 0.0, 2.0, 4.0, 2.0, 0.0, 2.0, 4.0]"
3,114,1608.522648607062,1405.417648607062,2031.0500000000002,"[2.0, 2.0, 2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 2.0]"
3,115,1590.9840739015997,1360.2150739015997,2307.69,"[2.0, 0.0, 4.0, 0.0, 2.0, 0.0, 0.0, 4.0, 4.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0]"
3,116,1644.717649285454,1317.812649285454,3269.05,"[4.0, 2.0, 4.0, 0.0, 2.0, 0.0, 4.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 4.0]"
3,117,1587.5639348935138,1337.4209348935137,2501.4300000000003,"[2.0, 2.0, 2.0, 0.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0]"
3,118,1710.65971025994,1463.62171025994,2470.3800000000006,"[0.0, 2.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 2.0, 0.0, 0.0, 2.0, 4.0]"
3,119,1639.4242054739057,1313.3252054739057,3260.9900000000002,"[2.0, 0.0, 4.0, 0.0, 0.0, 0.0, 4.0, 2.0, 4.0, 4.0, 4.0, 0.0, 4.0, 2.0, 2.0]"
3,120,1644.1690119418695,1279.7350119418695,3644.34,"[2.0, 2.0, 4.0, 0.0, 2.0, 0.0, 4.0, 4.0, 0.0, 2.0, 2.0, 2.0, 4.0, 2.0, 0.0]"
3,121,1639.9363646596753,1388.8023646596753,2511.34,"[0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 4.0, 2.0, 0.0, 2.0, 0.0, 2.0, 4.0, 4.0, 0.0]"
3,122,1665.0480991052993,1318.6520991052994,3463.96,"[2.0, 2.0, 4.0, 0.0, 0.0, 4.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 4.0, 2.0, 2.0]"
