ID,time,distance,start_x,start_y,end_x,end_y,state
152,26.8001,23.7848,262.539,204.213,252.559,184.02,0
153,88.7992,81.5922,358.652,195.365,349.518,174.561,0
154,236.505,192.724,386.157,301.796,349.766,174.663,0
155,191.903,164.675,492.259,114.817,653.6,130.305,0
156,348.712,215.775,256.427,421.573,67.7271,404.916,0
157,226.905,117.523,197.96,258.543,248.45,184.83,0
158,509.422,338.788,397.501,589.543,613.313,612.534,0
159,454.919,252.823,407.248,615,613.341,613.172,0
160,385.214,281.269,358.31,419.067,349.392,174.496,0
161,211.004,107.272,233.032,288.859,248.924,185.001,0
162,376.214,178.45,549.703,563.813,613.261,612.413,0
163,386.414,223.078,259.151,422.771,67.5816,404.728,0
164,257.106,199.751,176.337,535.626,149.587,706.257,0
165,320.71,281.374,315.448,401.024,250.915,184.743,0
166,0,0,250.926,181.607,250.894,181.412,0
167,178.502,158.147,144.236,554.657,149.893,706.222,0
168,92.6992,71.0036,114.093,436.587,67.7342,405.458,0
169,256.206,171.258,199.119,340.374,67.5371,404.39,0
170,118.499,113.834,266.791,294.55,250.297,184.94,0
171,76.0994,65.05,200.995,210.913,248.296,184.822,0
172,161.201,122.702,535.423,669.973,613.277,613.177,0
173,2.1,1.33319,254.568,183.412,253.315,182.956,0
174,214.704,113.454,181.278,401.143,67.7918,405.237,0
175,999.903,761.735,574.648,544.966,573.59,545.437,1
176,45.2999,43.7995,409.143,121.685,405.978,78.205,0
177,96.7991,105.878,565.568,471.838,615.548,540.227,0
178,144.1,111.165,461.725,180.675,356.23,173.223,0
179,73.3995,83.8359,579.209,477.489,615.484,540.07,0
180,47.9998,45.0995,407.507,123.641,406.087,78.1777,0
181,415.616,165.815,194.062,445.127,67.7476,405.456,0
182,130.799,99.4729,140.579,606.497,149.957,706.211,0
183,0,0,610.112,836.521,610.112,836.521,0
184,82.5993,79.5301,331.678,233.735,349.875,174.745,0
185,93.6991,87.095,272.63,269.922,249.696,185.247,0
186,167.201,127.586,153.489,590.739,150.349,706.084,0
187,273.307,285.515,183.511,522.716,149.799,706.344,0
188,0,0,408.11,70.7896,408.11,70.7896,0
189,404.015,284.877,471.752,331.586,356.142,173.454,0
190,338.811,251.676,397.156,364.552,349.527,174.575,0
191,9.6,9.97404,599.103,805.156,606.925,810.678,0
192,534.317,325.049,428.7,535.116,613.194,612.883,0
193,295.609,181.407,206.356,328.118,248.27,184.769,0
194,231.305,133.504,503.532,625.206,613.292,613.139,0
195,137.599,112.353,560.422,377.087,630.408,334.439,0
196,304.109,215.041,479.093,530.565,613.317,612.366,0
197,391.015,213.405,228.534,567.329,150.341,706.129,0
198,21.4,19.0614,86.483,401.839,67.7732,405.245,0
199,132.599,99.8524,566.717,683.74,612.178,752.575,0
200,286.408,264.732,348.603,574.398,313.02,818.079,0
201,228.605,152.396,424.781,278.926,355.592,174.378,0
202,187.502,224.708,500.914,248.427,647.89,197.692,0
203,245.906,177.3,474.629,564.342,613.315,613.223,0
204,10.1,9.4505,252.493,194.184,249.418,185.168,0
205,484.02,301.759,422.458,473.161,615.49,540.097,0
206,77.6994,69.9636,592.385,178.903,647.773,191.688,0
207,340.312,156.449,487.673,623.998,613.303,613.209,0
208,153.5,172.077,413.165,711.987,313.831,818.353,0
209,262.707,188.029,151.17,523.322,67.6834,405.643,0
210,496.321,285.579,476.067,490.122,615.56,539.558,0
211,150.1,108.452,423.411,232.7,355.946,173.916,0
212,444.318,296.743,312.509,460.214,67.3415,403.833,0
213,23.1001,18.8367,611.215,333.862,630.443,334.373,0
214,83.3993,85.3994,578.581,148.11,653.575,130.357,0
215,318.71,176.334,166.422,302.322,248.079,184.69,0
216,281.008,250.525,348.021,589.841,312.897,817.952,0
217,36.7,37.7627,600.176,327.111,630.348,334.313,0
218,211.004,211.707,413.169,668.708,313.464,818.308,0
219,114.099,94.4099,139.184,612.907,149.869,706.234,0
220,234.905,153.314,496.894,347.67,630.277,334.066,0
221,61.7996,71.1884,592.336,194.057,647.988,197.923,0
222,438.718,267.733,443.999,468.736,615.47,539.891,0
223,76.2994,73.1553,591.361,186.828,647.741,191.874,0
224,88.8992,80.6813,427.455,147.841,356.276,173.19,0
225,133.499,113.979,349.894,251.262,349.884,174.773,0
226,333.711,159.055,504.057,188.404,355.726,174.304,0
227,271.207,156.275,444.475,264.316,355.346,174.507,0
228,408.016,264.033,442.563,365.407,355.481,174.405,0
229,121.799,140.355,510.986,713.83,611.843,753.493,0
230,16.9,16.0629,598.168,745.331,612.072,752.591,0
231,34.3,45.7219,322.899,773.725,312.735,818.017,0
232,520.82,333.633,388.063,458.511,615.558,539.685,0
233,999.903,793.193,88.9377,453.902,89.9123,459.74,1
234,293.109,222.917,202.634,538.102,149.934,706.206,0
235,28.8001,37.4741,597.953,514.782,615.662,540.672,0
236,177.602,178.997,296.895,683.163,311.556,818.418,0
237,600.8,374.394,375.036,494.425,615.522,539.958,0
238,110.699,78.0763,398.837,203.609,355.739,174.331,0
239,149.6,130.355,298.152,292.633,250.678,184.781,0
240,75.0994,86.4373,566.047,492.12,615.519,540.015,0
241,564.409,326.768,286.188,502.035,150.312,706.166,0
242,292.409,143.099,223.571,312.428,248.577,184.866,0
243,298.009,141.591,192.354,413.63,67.818,405.168,0
244,46.9999,47.8116,402.957,170.33,356.036,173.697,0
