ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
38995,121.699,74.0868,208.628,692.581,153.634,700.182,0,46.3042,75.3945,2.62824
38996,354.012,63.189,302.567,767.353,311.822,818.254,0,39.4931,314.519,8.96389
38997,793.653,192.691,193.303,326.888,248.213,184.721,0,120.432,673.221,6.59006
38998,477.92,104.482,230.169,280.366,249.571,185.213,0,65.3013,412.619,7.31869
38999,862.237,170.427,494.188,328.36,630.345,334.148,0,106.517,755.72,8.09485
39000,828.845,278.75,347.305,561.915,144.693,616.344,0,174.219,654.626,4.75749
39001,190.802,84.2717,177.293,559.858,141.771,611.76,0,52.6698,138.133,3.62261
39002,614.997,118.738,523.743,349.781,630.289,334.13,0,74.2111,540.786,8.28713
39003,594.902,191.039,252.577,351.844,251.453,184.434,0,119.399,475.503,4.98246
39004,118.399,45.0813,580.381,789.717,607.142,810.039,0,28.1758,90.2229,4.20214
39005,278.508,113.375,362.111,230.339,350.842,175.073,0,70.8594,207.648,3.93043
39006,627.394,203.918,295.891,581.453,144.728,616.258,0,127.449,499.945,4.92271
39007,31.1001,28.9313,415.573,105.282,408.779,76.9575,0,18.0821,13.018,1.71994
39008,704.575,145.27,522.029,570.033,613.428,612.18,0,90.7938,613.781,7.76017
39009,925.821,169.351,198.158,324.345,249.251,185.204,0,105.844,819.977,8.74701
39010,777.357,239.437,348.458,585.086,144.525,616.744,0,149.648,627.709,5.19458
39011,659.686,292.799,380.052,584.312,311.921,818.308,0,183,476.686,3.60485
39012,53.8997,31.2652,158.996,595.943,144.708,615.745,0,19.5407,34.359,2.75833
39013,858.337,199.809,374.706,303.621,349.801,174.716,0,124.88,733.457,6.87327
39014,960.013,166.96,491.546,171.801,356.101,173.571,0,104.35,855.662,9.19991
39015,1929.28,248.153,451.301,480.269,590.004,489.103,1,155.096,1774.18,12.4393
39016,390.215,139.618,199.741,533.731,141.488,611.723,0,87.2613,302.953,4.4718
39017,297.609,80.6864,587.033,678.494,612.292,752.07,0,50.429,247.18,5.90154
