ID,time,distance,start_x,start_y,end_x,end_y,state,free_flow_time_lower_bound,delay_above_free_flow,time_to_free_flow_ratio
20852,331.311,113.741,189.914,535.05,141.548,611.713,0,71.0881,260.223,4.66057
20853,1417.7,188.688,392.668,523.661,482.685,462.519,1,117.93,1299.77,12.0215
20854,687.779,309.37,334.597,430.591,253.552,182.437,0,193.357,494.423,3.55705
20855,357.613,113.556,428.912,226.944,356.019,173.879,0,70.9726,286.64,5.03874
20856,324.711,102.915,224.455,280.658,249.513,185.206,0,64.3221,260.388,5.0482
20857,286.208,115.84,257.937,633.462,144.715,616.4,0,72.4001,213.808,3.95315
20858,258.607,113.699,564.259,381.17,630.691,335.191,0,71.0622,187.544,3.63916
20859,119.599,41.4676,579.254,796.991,606.768,810.836,0,25.9173,93.6815,4.61464
20860,115.599,53.5417,587.474,651.039,613.48,613.617,0,33.4636,82.1353,3.45447
20861,193.603,89.3992,151.946,523.501,140.631,611.359,0,55.8745,137.728,3.46496
20862,1070.09,187.989,495.973,169.835,356.325,172.926,0,117.493,952.593,9.10764
20863,775.258,300.501,287.754,472.303,67.6656,404.847,0,187.813,587.445,4.12782
20864,280.508,84.6696,312.036,221.473,349.891,174.791,0,52.9185,227.589,5.30076
20865,165.501,74.4928,398.183,194.621,355.229,174.509,0,46.558,118.943,3.55473
20866,415.716,135.098,570.928,398.384,630.667,335.125,0,84.4363,331.28,4.92343
20867,263.907,140.512,381.88,707.357,315.764,819.173,0,87.82,176.087,3.00509
20868,419.716,143.078,508.331,658.142,613.773,614.243,0,89.4235,330.293,4.69358
20869,501.021,179.086,234.146,552.46,144.702,616.271,0,111.929,389.093,4.47626
20870,709.474,278.959,334.198,403.7,253.241,183.403,0,174.35,535.124,4.06926
20871,650.188,182.389,477.292,662.463,613.718,614.225,0,113.993,536.195,5.70374
20872,1048.19,212.211,405.105,288.638,355.603,174.312,0,132.632,915.559,7.903
20873,822.746,132.992,221.786,305.711,249.019,185.003,0,83.1198,739.626,9.89832
20874,890.43,170.521,178.494,306.643,248.608,184.897,0,106.576,783.854,8.35492
20875,757.162,242.072,294.637,363.428,253.406,182.798,0,151.295,605.867,5.00455
20876,1417.7,213.015,478.196,477.011,594.925,492.985,1,133.134,1284.57,10.6486
20877,38.8,18.298,372.959,180.01,356.008,173.803,0,11.4363,27.3637,3.39271
20878,163.101,50.4289,303.542,190.399,350.42,174.978,0,31.518,131.583,5.17484
20879,709.974,177.631,392.946,274.706,355.385,174.403,0,111.019,598.954,6.39505
20880,661.885,160.808,545.586,463.953,615.555,540.202,0,100.505,561.38,6.58558
20881,73.6994,42.4533,165.064,591.838,144.721,615.598,0,26.5333,47.1661,2.77762
20882,158.5,114.461,353.252,712.691,315.62,819.198,0,71.5383,86.9622,2.2156
20883,232.205,68.9727,591.098,693.33,612.205,752.457,0,43.1079,189.097,5.38659
20884,161.401,58.2845,408.697,159.917,356.046,173.702,0,36.4278,124.973,4.4307
20885,374.014,101.616,447.465,180.068,355.384,174.448,0,63.51,310.504,5.88905
20886,1220.75,235.8,426.086,331.75,355.847,174.244,0,147.375,1073.37,8.2833
20887,105.099,34.5458,602.88,586.457,613.963,610.739,0,21.5911,83.5078,4.86769
20888,686.08,241.47,346.374,623.685,144.055,617.641,0,150.919,535.161,4.54602
20889,64.9996,28.4895,133.437,587.756,139.509,611.151,0,17.8059,47.1936,3.65044
20890,321.41,169.351,392.251,691.239,314.786,818.839,0,105.844,215.566,3.03664
20891,706.475,264.829,281.829,518.122,139.931,611.109,0,165.518,540.957,4.26827
20892,131.999,74.2487,102.83,453.384,66.9133,407.449,0,46.4054,85.5934,2.84447
